2026-06-04,11:29,2400.0
2026-06-04,11:34:45,2405.0
2026-06-04,11:39,2405.0
2026-06-04,11:44,2405.0
2026-06-04,11:49:32,2410.0
2026-06-04,11:52:36,2415.0
2026-06-04,12:04:36,2405.0
2026-06-04,12:07,2405.0
2026-06-04,12:10,2400.0
10|2026-06-04,12:12:49,2405.0
2026-06-04,12:15,2405.0
12|2026-06-04,12:23,2400.0
2026-06-04,12:26,2400.0
2026-06-04,12:29:49,2400.0
2026-06-04,12:33,2400.0
2026-06-04,12:37,2405.0
2026-06-04,12:41,2405.0
2026-06-04,12:44,2405.0
2026-06-04,12:50:11,2410.0
20|2026-06-04,12:54:43,2410.0
2026-06-04,12:57:16,2410.0
2026-06-04,12:59,2410.0
2026-06-04,13:03:25,2410.0
2026-06-04,13:11:48,2405.0
2026-06-04,13:15:59,2405.0
